lib	unit	sample_id	fq1	fq2
lib2	1	OSF_E246	data/fastqs/OSF_E246_1.fq.gz	data/fastqs/OSF_E246_2.fq.gz
lib2	1	OSF_E348	data/fastqs/OSF_E348_1.fq.gz	data/fastqs/OSF_E348_2.fq.gz
lib2	1	OSF_E356	data/fastqs/OSF_E356_1.fq.gz	data/fastqs/OSF_E356_2.fq.gz
lib2	1	OSF_E357	data/fastqs/OSF_E357_1.fq.gz	data/fastqs/OSF_E357_2.fq.gz
lib2	1	PD1E_H02	data/fastqs/PD1E_H02_1.fq.gz	data/fastqs/PD1E_H02_2.fq.gz
lib2	1	DP1W_A01	data/fastqs/DP1W_A01_1.fq.gz	data/fastqs/DP1W_A01_2.fq.gz
lib2	1	DSBT_A01	data/fastqs/DSBT_A01_1.fq.gz	data/fastqs/DSBT_A01_2.fq.gz
lib2	1	DEEX_A02	data/fastqs/DEEX_A02_1.fq.gz	data/fastqs/DEEX_A02_2.fq.gz
lib2	1	WRH2_C01	data/fastqs/WRH2_C01_1.fq.gz	data/fastqs/WRH2_C01_2.fq.gz
lib2	1	WRH2_D01	data/fastqs/WRH2_D01_1.fq.gz	data/fastqs/WRH2_D01_2.fq.gz
lib2	1	WRH2_E01	data/fastqs/WRH2_E01_1.fq.gz	data/fastqs/WRH2_E01_2.fq.gz
lib2	1	WRH2_F01	data/fastqs/WRH2_F01_1.fq.gz	data/fastqs/WRH2_F01_2.fq.gz
lib2	1	WRH2_L01	data/fastqs/WRH2_L01_1.fq.gz	data/fastqs/WRH2_L01_2.fq.gz
lib2	1	WRBS_A02	data/fastqs/WRBS_A02_1.fq.gz	data/fastqs/WRBS_A02_2.fq.gz
lib2	1	WRBS_B01	data/fastqs/WRBS_B01_1.fq.gz	data/fastqs/WRBS_B01_2.fq.gz
lib2	1	WRBS_D01	data/fastqs/WRBS_D01_1.fq.gz	data/fastqs/WRBS_D01_2.fq.gz
lib2	1	KM_NWR_MC3_EM3_A1	data/fastqs/KM_NWR_MC3_EM3_A1_1.fq.gz	data/fastqs/KM_NWR_MC3_EM3_A1_2.fq.gz
lib2	1	KM_NWR_MC3_EM04_A1	data/fastqs/KM_NWR_MC3_EM04_A1_1.fq.gz	data/fastqs/KM_NWR_MC3_EM04_A1_2.fq.gz
lib2	1	KM_NWR_MC3_EM5_A1	data/fastqs/KM_NWR_MC3_EM5_A1_1.fq.gz	data/fastqs/KM_NWR_MC3_EM5_A1_2.fq.gz
lib2	1	KM_MC6_EM2_A1	data/fastqs/KM_MC6_EM2_A1_1.fq.gz	data/fastqs/KM_MC6_EM2_A1_2.fq.gz
lib2	1	KM_NWR_MC7_EM01_A1	data/fastqs/KM_NWR_MC7_EM01_A1_1.fq.gz	data/fastqs/KM_NWR_MC7_EM01_A1_2.fq.gz
lib2	1	KM_MC7_EM2_A1	data/fastqs/KM_MC7_EM2_A1_1.fq.gz	data/fastqs/KM_MC7_EM2_A1_2.fq.gz
lib2	1	KM_PEN_RD_EM8_A1	data/fastqs/KM_PEN_RD_EM8_A1_1.fq.gz	data/fastqs/KM_PEN_RD_EM8_A1_2.fq.gz
lib2	1	KM_PEN_RD_EM9_A1	data/fastqs/KM_PEN_RD_EM9_A1_1.fq.gz	data/fastqs/KM_PEN_RD_EM9_A1_2.fq.gz
lib2	1	KM_PEN_RD_EM10_A1	data/fastqs/KM_PEN_RD_EM10_A1_1.fq.gz	data/fastqs/KM_PEN_RD_EM10_A1_2.fq.gz
lib2	1	CHOL_EM7_A1	data/fastqs/CHOL_EM7_A1_1.fq.gz	data/fastqs/CHOL_EM7_A1_2.fq.gz
lib2	1	KM_NWR_DEVINE_EM01_A2	data/fastqs/KM_NWR_DEVINE_EM01_A2_1.fq.gz	data/fastqs/KM_NWR_DEVINE_EM01_A2_2.fq.gz
lib2	1	KM_NWR_DEVINE_EM02_A1	data/fastqs/KM_NWR_DEVINE_EM02_A1_1.fq.gz	data/fastqs/KM_NWR_DEVINE_EM02_A1_2.fq.gz
lib2	1	USGS_220449	data/fastqs/USGS_220449_1.fq.gz	data/fastqs/USGS_220449_2.fq.gz
lib2	1	USGS_220356	data/fastqs/USGS_220356_1.fq.gz	data/fastqs/USGS_220356_2.fq.gz
lib2	1	USGS_220341	data/fastqs/USGS_220341_1.fq.gz	data/fastqs/USGS_220341_2.fq.gz
lib2	1	USGS_211875	data/fastqs/USGS_211875_1.fq.gz	data/fastqs/USGS_211875_2.fq.gz
lib2	1	USGS_212263	data/fastqs/USGS_212263_1.fq.gz	data/fastqs/USGS_212263_2.fq.gz
lib2	1	USGS_211861	data/fastqs/USGS_211861_1.fq.gz	data/fastqs/USGS_211861_2.fq.gz
lib2	1	OSF_E20	data/fastqs/OSF_E20_1.fq.gz	data/fastqs/OSF_E20_2.fq.gz
lib2	1	OSF_E138	data/fastqs/OSF_E138_1.fq.gz	data/fastqs/OSF_E138_2.fq.gz
lib2	1	OSF_E139	data/fastqs/OSF_E139_1.fq.gz	data/fastqs/OSF_E139_2.fq.gz
lib2	1	OSF_E234	data/fastqs/OSF_E234_1.fq.gz	data/fastqs/OSF_E234_2.fq.gz
lib2	1	OSF_E236	data/fastqs/OSF_E236_1.fq.gz	data/fastqs/OSF_E236_2.fq.gz
lib2	1	OSF_E237	data/fastqs/OSF_E237_1.fq.gz	data/fastqs/OSF_E237_2.fq.gz